,author,stars,date,text
42,Roman L.,"Came here with my coworkers, can't say I was thrilled about this place. Took a long time for the food to come out and sushi wasn't all that great, Ramen was good. Not sure if I'd come back again anytime soon, if I do would only be for the Ramen.
",2017-10-28,3.0
43,Anna A.,"amazing fried California roll!! I loved it!! I got the fried pork ramen as well which was very good however the extra super thin ramen noodles are not my favorite which is the only reason I knocked off a star!
",2019-05-10,4.0
44,Stefan T.,"What are you doing in this neighborhood? Huh?? Oh, your an evangelist going around passing the 10 commandments out to the guys in the neighborhood looking to go to the girlie clubs, huh? Now you need to eat yourself.

Well, this place is a good bet. Your not going to have to go into confession by entering this establishment. This is a top notch Sushi bar. Once you walk in you will know it isn't the cookie cutter chain you are so tired of going to. 

Outside the signage is hidden as if it were a speakeasy. Then once you enter there is an entry hall that creates a private, comfortable setting. As you enter more inside you get to a raised dining area on your left. Its all very cozy. Very comfortable. Kitchen to the right sort of covered up with workers exiting and entering frequently. To the rear more seating. 

Above is a unique ceiling with visual interest from special lighting and different depths. Service is efficient/friendly and food is a good value.
",2016-05-08,4.0
45,Benita M.,"Browsing Yelp one afternoon and saw that this place newly opened. Their presentation was what enticed me to come here. This place was hidden in my opinion. Didn't have a very visible sign unless you were across the street. Upon entering, it seemed a little small. Staff was very welcoming.

Food came at a timely manner. Good presentation, cooked nicely. Flavors were there but it didn't make me crave more. If I had to pick my favorite, it would probably be the Lion King Roll. Everything is decent. One thing that bugged me was having to ask 2 different waitresses for a fork. We told them and they said OK, but never came back with a fork. Happened several times. Halfway through our meal, she finally came back. They were nice and apologetic but would have been nice to not wait that long.
",2016-04-15,3.0
46,Adam B.,"I have pretty high standards for ramen, so a ""Meh"" (i.e. 2 stars) from me could be an ""A-OK"" (i.e. 3 stars) for someone else.  That being said, I was disappointed by the entire trinity: broth, noodles and meat.  Since there are a bunch of ramen options downtown, there really is no good reason for sub-par ramen.

Gyoza: Completely deep fried.  I definitely prefer the pan-fried (i.e. potsticker) style since I like the contrast of boiled and fried on the same dumpling.  It wasn't that memorable.

Chashu Ramen: A pork bone broth, but no where near as rich as a traditional tonkotsu.  The noodles were a bit disappointing, a little too al dente; tasted like something from a package you'd get at the supermarket.  The pork belly was cold (despite resting in warm soup) and was pretty dry (despite resting in wet soup).  The half egg was cooked decently though.
",2016-04-04,2.0
47,No L.,"Had the smallest portion of sashimi combo ever. Not sure if this is the norm at this restaurant?
",2018-09-30,1.0
48,Briana Z.,"My heart extends out to mom and pop establishments where the people who own the restaurant are the ones cooking in the kitchen, busting the tables, and taking the orders. This is one of those establishments. 

The veggie tempura ramen I had was absolutely delectable--reminds me almost of the famous Ippudo in NYC. All the ramens have the option of spicy or not spicy, which is right up my alleyway since the spicier the better.  My mom typically prefers udon, but since this place only offers ramen noodles, she opted for that instead. She was definitely not disappointed as she was raving about about the grilled chicken ramen the entire time! 

We were both very dehydrated after the meal though. The MSG level was probably off the charts, but treat yoself to a savory delight every once in a while. A little monosodium glutamate never killed nobody, (I hope.) 

Tip: If you're using the groupon, the combos aren't valid with it. (There is a combo option where if you order a ramen ($10-$11 per bowl), you can order gyoza, or California rolls, or any other small dish for $3.95.)
",2017-05-12,4.0
49,Anthony M.,"Omg. This place was AMAZING!! Great music, fantastic food!!!. Weird to say but most delicious house green salad of all time. They have perfected salad texture for sure. And the dressing was something I want in my fridge at all times!!.  I cannot forget to mention I had to Tan tan Ramen. AMAZING!! Great job guys!!
",2018-10-24,5.0
50,Brijhe C.,"I don't know why people are rating this place to be 2-3 stars. My husband, our friend, and I came here around 7PM. Yes, the parking is terrible, but that has nothing to do with the store. The attendants are very polite. They're very cordial. Very patient. Not to mention the food came out on time. Yes, they won't come out at the same time because preparation time for certain foods is different. I'm super pleased that for a sushi place, it doesn't smell fishy at all. In addition to that, great quiet atmosphere.
",2017-12-20,5.0
51,Yuhan Z.,"Great food and nice vibe!! We ordered Bento box and ramen, both pretty tasty! Chicken skewer is also great for a little snack.
",2018-10-20,5.0
